==================tensorflow==================
---------------tensorflow-2.2.0---------------
the number of UM smell:0	the density of UM KLOC:0.0
the number of LOSD smell:2	the density of LOSD KLOC:0.031285
the number of all smell:163	the density of all smell KLOC:2.549743
""
==================chainer==================
---------------chainer-6.0.0---------------
the number of LILBC smell:1	the density of LILBC KLOC:0.204583
the number of EILC smell:0	the density of EILC KLOC:0.0
the number of LLFFILB smell:11	the density of LLFFILB KLOC:2.250409
the number of NURP smell:0	the density of NURP KLOC:0.0
the number of LOREC smell:0	the density of LOREC KLOC:0.0
the number of UE smell:6	the density of UE KLOC:1.227496
the number of UM smell:0	the density of UM KLOC:0.0
the number of LOSD smell:0	the density of LOSD KLOC:0.0
the number of all smell:18	the density of all smell KLOC:3.682488
""
---------------chainer-6.7.0---------------
the number of LILBC smell:1	the density of LILBC KLOC:0.193311
the number of EILC smell:0	the density of EILC KLOC:0.0
the number of LLFFILB smell:11	the density of LLFFILB KLOC:2.126426
the number of NURP smell:0	the density of NURP KLOC:0.0
the number of LOREC smell:0	the density of LOREC KLOC:0.0
the number of UE smell:6	the density of UE KLOC:1.159869
the number of UM smell:0	the density of UM KLOC:0.0
the number of LOSD smell:0	the density of LOSD KLOC:0.0
the number of all smell:18	the density of all smell KLOC:3.479606
""
---------------chainer-7.8.1---------------
the number of LILBC smell:0	the density of LILBC KLOC:0.0
the number of EILC smell:0	the density of EILC KLOC:0.0
the number of LLFFILB smell:9	the density of LLFFILB KLOC:2.784653
the number of NURP smell:0	the density of NURP KLOC:0.0
the number of LOREC smell:0	the density of LOREC KLOC:0.0
the number of UE smell:6	the density of UE KLOC:1.856436
the number of UM smell:0	the density of UM KLOC:0.0
the number of LOSD smell:0	the density of LOSD KLOC:0.0
the number of all smell:15	the density of all smell KLOC:4.641089
""
